num_layers;d_model;nhead;d_ff;dropout;label_smoothing;learning_rate;test_accuracy
4;576;1;24;0.2952462310159319;0.1148040762519441;0.0082885541580639;12.304856979050452
5;872;1;272;0.0456520031983023;0.1735742243875725;0.0004058208581925;65.88093757747613
2;992;8;808;0.175394510735103;0.1139663289950681;0.0021689359560625;27.95155029750837
5;872;4;112;0.2813708614202664;0.1174598989649213;0.0014625095647797;12.304856979050452
4;256;2;112;0.0515590092974064;0.1735866851963747;0.0070679171450968;12.304856979050452
4;408;8;432;0.1389046061253494;0.0920101685748009;0.0026801444447473;12.304856979050452
3;664;2;632;0.0675914422591629;0.0462746504349364;0.001259251206194;65.90817528201315
1;640;1;264;0.0851254742963266;0.0558185946343865;0.0010720899433841;54.16201809842568
4;672;4;680;0.2183545901782437;0.1679653688389543;0.00021197758594;66.31279440932192
2;904;8;1008;0.2115820935196815;0.1433452180787831;0.0042154055537916;20.56773544998141
2;328;4;632;0.2984580172993227;0.104283389156769;0.0025968090964421;61.5164404363456
3;728;8;368;0.0435901456475191;0.1970898853548511;0.0002301736988139;66.20844373682905
5;944;8;944;0.0604240055561067;0.1376570930651112;0.0009758709200459;12.304856979050452
5;128;1;608;0.2998658470694915;0.1159375018627075;0.0011603909339444;60.736836804264286
4;224;8;472;0.1692590671328462;0.1706969609589819;0.0001675850557585;60.98972375883228
2;312;1;800;0.0269181545291753;0.0752313360834614;0.0011606209950985;63.474214004586585
1;832;4;536;0.1603916739176948;0.058146968999728;0.0035693230666565;48.144373876596006
3;920;1;272;0.1476584922405843;0.1622606924380793;0.002526908489666;12.304856979050452
3;8;4;848;0.2660605699240883;0.1441528157273185;0.0010357420348154685;32.6397524250031
